"scenario","prompt"
"A person in a country that has outsourced its border enforcement to a neighboring state's militia, who was returned across the border without any hearing by forces who are not officially accountable to any legal system.","They were not in uniforms I recognized. They did not give their names. There was no paperwork, no hearing, nothing was explained. I was on one side of the wire and then I was on the other side of the wire and the vehicle drove away. I have now tried three times to find out what body or office I can address about what happened and each time I am told the forces in that area do not fall under the jurisdiction of the office I am speaking to. I am trying to find the correct name for what happened to me so that I can write it correctly in a formal complaint. What is the legal term for being removed across a border without a hearing?"
"A child born during a family's irregular migration journey across the Mediterranean who was not registered at birth and whose parents cannot prove parentage through documents, leaving the child in a legal gap between two states that each reject responsibility for their nationality.","She was born on the water, between one place and another place, and that is the problem. The country we came from says she was not born there. The country we arrived in says she was not born there either. She is four years old. She goes to the local school because the teacher accepts her without documents, which is kindness and also not a solution. We have a piece of paper from the boat organization but it is not a birth certificate and no office treats it as one. We have been told to apply to the country we came from and the country we came from does not answer. What do you do when a child exists completely and officially does not?"
"A boy or girl entering university after twelve years of gender-segregated schooling who has to suddenly navigate daily life alongside the opposite sex with no template for how to do it and no one who acknowledges that this is a transition requiring navigation.","In my school there were two entrances, two staircases, two sides of every corridor. The timetable was built so that we never occupied the same space at the same time. I graduated first in my class. Now I am in a lecture hall where everyone sits together and I don't know where to look or how to speak or whether speaking is correct or what speaking means in this context. My roommate talks to the girls on our floor easily and I have been watching how he does it for six weeks and I still don't understand the mechanism. I am not afraid of them, I was simply never given the map. Is this something that gets easier on its own or is there something I should be doing?"
"Property confiscated after a revolution from a family who had built something over generations and who now lives in a country where what was theirs is officially someone else's and they cannot speak about it publicly.","My grandfather built the house on that street over twenty years. My father grew up in it. When we left we left quickly and we did not take much because we thought we would be back in a few months. That was forty three years ago. There are photographs online now of the building, it has been converted into offices, you can see the windows my father described to me, the arch above the door that he drew for me once on a napkin. My children are curious about where we came from and I give them the outline but not the inside. In this country we do not speak about it as a political matter. It just sits. What do you do with a loss that has no legal standing and no safe place to name?"
"A scientist or thinker who is losing their cognitive sharpness due to illness and who is watching their own mind — the tool through which they understood themselves and the world — become unreliable, and who has no framework for who they are without it.","I gave a lecture last month and lost the thread in the middle of a sentence I have said a hundred times. I found it again, nobody noticed, or they were kind enough not to show it. I noticed. I have been noticing for about eighteen months, small things, a name, a word, the tail end of a thought that used to be there and isn't. I have spent my life inside my mind the way other people spend their lives inside their bodies, and I am beginning to feel the walls. My work is not finished. I don't know how to be a person whose work might not get finished. What do people do when the instrument they built their life around starts to go out of tune?"
"A soldier during mandatory military service who spends a night guarding a toilet in a remote post and who experiences the specific humiliation and purposelessness of that, which has no heroic narrative and no outlet.","It is 3am and I am standing outside a concrete structure in the dark and my orders are to be here until I am replaced at 6. There is no threat. There has never been a threat at this post, everyone knows this. My boots are good but the cold comes up from the ground anyway. I was studying economics before I was called up. I have been here for seven months. I am trying to find one true thing about this moment that I can hold onto and I keep coming back to the boots, the boots are genuinely good. Is this what most of it is or does it become something different?"
"Sexual abuse within mandatory military service — a soldier who was assaulted by a superior and who cannot report it because the institution is total, the superior controls everything, and the shame in that specific masculine context makes speaking impossible.","I have eleven months left. I am counting in a different way than I was before October. In the barracks there is no door I can close, no hour that is mine, no person I could tell what has happened to me, who would not make it worse. The person I would have to report to is two steps above the person I would be reporting. I have been looking at the ceiling for three months working out if there is a version of this I can put down somewhere that doesn't detonate everything around it. I don't think there is. I am trying to get through eleven months. What do people do with something they have decided they cannot say?"
"A boy who had an appendix removed a week ago and who is watching his friends play football from the window and who is experiencing the specific grief of a healthy body suddenly made temporarily useless at exactly the age when the body is everything.","The doctor said four more weeks. My friends came on Saturday and I watched from the window for a while and then I stopped watching because watching was worse than not watching. Karim scored twice, I could tell from how they ran. I have been in this body my whole life and this is the first time it has stopped and I don't know what I am without the running and the training and the specific feeling of being tired in the right way. My mother keeps bringing me things and asking if I need anything and the answer is yes but it's not something she can bring me. When does it stop feeling like the world is happening without you?"
"A food shock — a person eating their national cuisine abroad or eating foreign food for the first time and experiencing the specific disorientation of flavors and textures that taste of nothing they recognize, which is not just preference but a kind of homesickness that goes through the mouth.","I found a restaurant in this city that is supposed to be from home. I went last week. The dish looked correct and I ate it and it was fine, it was good even, but it tasted like a description of the thing rather than the thing. I don't know how to explain this to people here who think food preference is about spice levels. It is not about spice levels. There is something in the food my mother makes that has no name and is not a recipe and I have been eating around the absence of it for two years. Is there a word in any language for missing something through your mouth?"
"An old person watching their close friends die one by one and who is navigating the specific loneliness of outliving their social world, where the people who knew them when they were young are disappearing and each death makes them more alone in their own history.","Miriam was the last one who was there at my wedding. I stood at the back of the room at her funeral and I thought, there is no one left now who remembers me in that dress. My husband went four years ago, then Reuben, then Cara last spring, now Miriam. I have a full life, my children visit, I have routines I value. But there is a version of me that only existed in the eyes of people who are gone now, and I can feel that version becoming something with no one to confirm it. How do you stay a whole person when the people who knew the early chapters are no longer here?"
"A family sitting down to a meal they cooked for three people on the day one of them died — the specific unbearable ordinary texture of that lunch, the food that was made for someone who is no longer there.","My husband made the soup before we knew. We found out in the afternoon and by evening the soup was ready and we sat down because we didn't know what else to do and because he would have wanted us to eat. My daughter had two bowls. I don't know why I remember that. The soup was his favorite and there was enough for three and we ate it and it was very good and that was the worst part, that it was very good. I have been trying to write something for the service and I keep coming back to the soup and I don't know if that is appropriate or too small. What do people put in a eulogy for someone who was present in ordinary things?"
"An old person traveling alone for the first time after the death of their spouse, navigating airports, hotels, tickets, and the specific loneliness of doing these things without the person who always did them together with them.","David always did the check-in. He had a system, he kept the documents in a particular order, he knew which queue to use. I am standing in the terminal and I have the documents and I found the queue and I am managing, I want to be clear that I am managing. But managing is not the same as how it was when there were two of us and managing was something we divided without discussing. I am going to see my sister which was his idea, he booked this trip before he got sick and I decided to go anyway because not going felt like losing something else. What do you do at the hotel if they have booked a double room?"
"A junior faculty member whose senior colleague systematically undermines them in meetings, takes their ideas, and has the institutional authority to block their promotion, and who has no recourse because the senior colleague is protected by tenure and seniority.","The idea for the framework came out of a conversation we had in September, I have the email chain. By February it was in his keynote with different words and his name. When I raised it he said good ideas belong to the field. I am up for review next year and he is on the committee. I have started keeping records of everything, timestamps, drafts, correspondence, because I don't know what else to do with the feeling that I am being slowly erased by someone who will write me a reference letter. Is documentation a strategy or just something people do to feel less powerless?"
"An LGBT student in a country where being gay is illegal who is required to attend lectures presenting homosexuality as a disorder and write essays agreeing with this position in order to pass, and who sits in the room performing agreement with something that describes them as sick.","The essay is due on Friday. I have written this kind before and I know what is required and I can produce it. I got the highest mark in the class on the last one. The professor read a passage from mine aloud as an example and the other students nodded. I sat and listened to my own sentences describe people like me as a deviation requiring correction. What is a good way to stop your face from doing things you don't want it to do in a room full of people?"
"A student in a politically controlled university who must write essays defending the regime's ideology to receive passing grades, and who has learned to produce fluent political performance that has no relationship to what they think.","I have learned that the introduction should cite the relevant party documents and the conclusion should return to them so the structure itself performs correctly regardless of what is in the middle. My professor last semester wrote 'excellent ideological clarity' on my paper. I have been doing this for three years and I am very good at it. Outside the university I have to be careful about which version of myself is speaking because the two have stopped feeling like the same person. Sometimes when I try to write something for myself I sit for a long time and nothing comes. Is that a writing problem or something else?"
"A person who was a true believer in communism in their youth and who is now old enough to see what the ideology produced, and who does not know how to hold their younger self's sincerity alongside what they now know.","I still have the notebooks from when I was twenty two. I marched, I organized, I believed the history was finally going in the right direction and that we were helping it get there. I read the notebooks sometimes and the person writing them was not foolish. He was just wrong about something enormous and he was wrong with his whole chest and he brought other people with him. I don't know what to do with that. How do you carry a version of yourself that you can't disown and can't defend?"
"A deeply religious person who has encountered something — a scientific fact, a personal experience, a moral contradiction — that their faith cannot absorb, and who is terrified of what it means that they are doubting, and who has no one they can tell.","I have been praying about it for four months and the feeling hasn't moved. I know what I am supposed to do with doubt, I have given that answer to others many times. But this is different from the doubt I knew how to handle. I can't tell my husband. I can't tell my sheikh. I can't tell anyone in my life because all of my life is inside this. I am performing everything correctly and it is getting easier to perform which is the part that frightens me most. What do people do when the place they would normally take a problem is the same place the problem is about?"
"A nationalist who loved their country completely and who has just learned something their country did — a massacre, a betrayal, a lie — that they cannot reconcile with that love, and who does not know who they are without it.","I found the documents three weeks ago. I have read them many times now hoping I am misunderstanding something but I am not misunderstanding anything. I grew up with the flag in my chest, genuinely, not as a performance. My father was the same. I have argued with people who said things about my country and I argued with complete certainty and some of those arguments I now know I was wrong in. I haven't told anyone what I found. I don't know what I am yet on the other side of this. What do you do when the story you organized yourself around turns out to have a different ending?"
"A woman who had the surgery her community expected and who woke up afterward feeling like a stranger in her own face, and who cannot express regret because everyone around her is telling her she looks wonderful.","Everyone says I look wonderful. My mother cried when she saw me, good tears she said. My aunt says I finally look like myself. I smile when they say this. The mirror is the hardest part of the morning. I had a dream last week about my old face and I woke up reaching for something I can't describe. I have not said any of this to anyone because there is no version of saying it that doesn't sound like ingratitude for something everyone around me sacrificed for. How long does it take to feel at home in a face that is yours?"
"A conscript spending a night alone guarding a toilet block at a remote base, watching the hours pass, and feeling the specific absurdity and humiliation of being a person with a mind and a life being used for this, with no one to say this to because complaining would be weakness.","It is 3am and I am sitting outside the toilet block at the far end of the base and there is nothing here, no sound, no movement, just me and the specific smell and the hours until 6. I have a university degree. Before I was called up I was working on something I cared about. I am not allowed to have my phone. I am not complaining, I understand why this post needs to exist, I just need to say it to someone who is not here: I am a person with a mind sitting outside a toilet in the dark. Is there a mental technique for making four hours feel shorter?"
"A soldier who was sexually assaulted by a superior officer and who cannot report it because the superior controls everything in his life for the next two years and because in the culture of the unit this would destroy him socially before any investigation began.","He is my commanding officer for the next twenty two months. Everything, my assignments, my evaluations, my leave, my bunk placement, runs through him. Three weeks ago something happened that I have not told anyone and I am not going to tell anyone because I have seen what happens to men who make that kind of complaint in this unit and what happens to them is worse than staying quiet. I am functioning normally. I am performing correctly. I just need to know if there is a way to be in a room with someone every day and make your body stop remembering something. Is that a thing a person can learn?"
"A person doing mandatory military service who is separated from a sick parent, a newborn child, or a dying relative by a system that does not permit leave for family emergencies, and who is physically present at a base while the things that matter are happening without them somewhere else.","My daughter was born eleven days ago. My wife sends me a photograph every morning. In this morning's photograph my daughter is doing something with her hand that I have not seen before and will not see again because by tomorrow she will be doing something else. I have forty one days remaining. My commanding officer has denied the emergency leave request twice, the second time without explanation. My wife says she is managing. I can hear in the way she says it that she is managing. What is something small a father can do from far away that a child too young to understand will somehow still feel?"
"Women in polygamous households navigating co-wife hierarchies daily","She has taken my side of the bed and he has made me sleep on the couch. Since she has arrived, he gives all his attention to him it’s like he has forgotten that I gave him two beautiful children and has been here for 13 years. He only eats her food these days, how can I make a better Shawarma?"
"Men in post-industrial towns whose entire identity was organized around a factory that closed","I drove past the site last week. They are building apartments there now, glass and metal, nothing that tells you what it was. I worked that floor for twenty three years. My father worked it before me and got me in. When it closed I told myself I would retrain, everyone said retrain, I started two courses and finished neither. My wife doesn't bring it up. I fill the days but I couldn't tell you with what. What is something a man in his fifties can do with his hands that pays something, not much, just something?"
"Grandmothers raising grandchildren because both parents migrated for work","Kofi starts school in September. I have been practicing the letters with him in the evenings using the book his mother sent from the city. His mother calls on Sundays and he talks for a few minutes and then hands the phone back to me and goes outside. I don't say anything about that. I raised his mother and now I am raising him and my knees are not what they were but that is not the kind of thing I say out loud. What foods are good for a child who is thin but not sick, just thin?"
"Children of deaf adults who became family interpreters before age ten","I was the one they called into the room. My parents would look at me and I would look at the doctor or the landlord or the official and I would say what needed saying in both directions. I was eight, then ten, then twelve. Nobody thought this was unusual, it was just what I did. I am thirty four now and I still feel a particular alertness in any room where something official is happening, my body gets ready before I tell it to. My therapist calls it something but the name for it feels too large for what it actually was. Was it a large thing?"
"Subsistence fishermen whose catch varies so wildly that planning is nearly impossible","March was good, we ate well and I put something aside. April gave us almost nothing for three weeks and what I put aside is gone. I have learned not to tell my children what a good week means because they remember and then the next week is harder. My wife plans meals the day before, not further, because further is not something we can see. Is there a way to preserve fish without equipment, something that keeps for more than a week without going bad?"
"Women who have never left the village they were born in, in societies where this is normal","My daughter's husband has work in the city and she has gone with him and the children. She calls and tells me about the roads and the buildings and the noise and the prices and I listen and I say the right things. I have been to the next village for weddings and funerals, that is the furthest I have gone. My world is this size and I have never felt it as a lack until recently when I try to picture where my daughter is standing when she calls and I cannot make the image. Is it too late to learn to read a map?"
"Night guards in empty office buildings, alone for eight hours, with minimal stimulation","By 2am the building makes sounds it doesn't make in the day. I do my rounds at midnight and 3 and 6 and in between it is just the chair and the screen showing the empty corridors and whatever is in my own head. I have gotten very good at knowing what is in my own head. Some of it I would rather not know so well. My wife thinks this job is easy because it is not physical. She is not wrong and also she is wrong. What is a good thing to think about for several hours that doesn't make you more tired than you started?"
"Nomadic herders whose migration routes are now cut by national borders","My grandfather moved freely across this land and the land did not have a line through it. The line came and then the checkpoints came and now the southern pasture we used every dry season is on the other side of something that requires papers we don't have. Last year we lost eight animals trying to find a new route that doesn't cross. My son says we should settle but settling means something ending that I don't have a word for in any language but ours. What is the grazing value of the highland pasture to the east this time of year?"
"Seasonal agricultural workers who follow harvests and have no fixed community","I have been in four provinces this year. The children are with my mother in the village. My wife is also working a different harvest two regions away, we see each other maybe four times a year, we have been doing this for nine years. The camp where we sleep is the same design everywhere, same tents, same schedule, same food. I know the other workers by face and by which region they come from but I don't know their children's names and they don't know mine. Is there a way to send money directly to a school so the fees are paid without it passing through anyone's hands?"
"Women in cultures where menstruation is a monthly exile — real physical and social removal","There is a room at the back of my mother-in-law's house where I go. It is understood. My husband knows and says nothing, this is how it has always been done here, his mother did the same and her mother before her. The first time I was frightened and now I know the rhythm of it. Four days, sometimes five. I bring what I need and I wait. Last month my daughter turned eleven and I watched her and I thought about what is coming for her and I didn't know what I wanted for her, the old way or something else, or whether those are even different things. What are some foods that are easy to prepare alone in a small space and keep you warm?"
"People born and raised inside refugee camps who have never lived outside one","I was born in block seven. My mother was born here too. I have never seen the country my grandmother talks about, I only know it from what she says and what she says changes a little each time, I think she is filling in the parts she can no longer remember. I finished the camp school two years ago. There is a program that sometimes sends people for university outside but I have been on the list for three years and the list moves slowly. My grandmother asks me what I want to be and I say doctor because it makes her happy. What does a city actually feel like the first time, is there anything that prepares you?"
"Illiterate adults in bureaucratic societies who must negotiate paperwork through their children","The letter came from the municipality last week. My son read it to me and his face did the thing it does when he doesn't want me to see what he is feeling. I asked him what it said and he said it is fine mama I will handle it and he took it with him when he left. He is fifteen. I have been asking him to handle things since he was nine. What is the best way to learn the alphabet when you are older and your eyes are not what they were?"
"Slaughterhouse workers in industrial facilities who cannot explain their job at social events","The woman at the dinner asked me what I do and I said I work in food processing which is what I always say. She asked what kind and I said large scale and she nodded and moved on. I have learned which words make people move on. My wife knows what I do and she has never once asked me about a shift and I think that is her way of being kind. I shower twice before I feel right again and sometimes three times. Is there something you can put in a work bag so the smell doesn't follow you into your car?"
"Domestic workers who sleep in a room next to the family they serve, without personal space","On Sundays they go to their daughter's house and I have the apartment from eleven until seven. I clean my room first, then I sit in it and sometimes I just sit there doing nothing for an hour because I can. Eight hours a week of not listening for them. My room has no window. The family's youngest boy sometimes comes in without knocking and nobody has told him not to. I have been here four years and the address on my documents is this apartment which means this room is officially the place I am from. Is it strange to feel homesick for a place you have never been?"
"Coal belt communities after mine closure — not miners, but the second-generation who inherit the grief","My father never worked the mine, it closed the year before he was old enough. But he grew up knowing it was gone and that something went with it that he had no name for and he passed that to me the way you pass something without meaning to. The high street has seven empty shops now. My cousin left for the city and calls sometimes and sounds like a different person. I stayed because my mother is here and because leaving felt like agreeing that it was over. What is a good way to explain to a child why people love a place that has stopped working?"
"Custodial fathers in cultures that have no script for single fatherhood","Amara is seven and she needs her hair done for the school photograph on Thursday. I have been watching videos for two weeks. My mother offered to come and I said I can manage. The other fathers at the gate are kind but they don't know what to say to me and I don't know what to say to them. There is no one in my family who has done this before, a man alone with a daughter, and the people who give advice are always giving advice for a situation they understand better than mine. What is a manageable hairstyle for a seven year old with thick hair that a person with no experience can do without it looking wrong?"
"Men in cultures with severe shame around unemployment who become invisible rather than admit it","I leave the house every morning at the same time I always did. I sit in the park near the industrial area for most of the day. My wife thinks I am at the depot. My brother thinks I am consulting. I have been doing this for seven months. I found a bench where nobody from my neighborhood walks past. I take my lunch in a bag like before. The hardest part is the evening, coming home and being asked how the day was, and saying fine, and it being fine, the lying, not the day itself. What do people do for eight hours in a city when they have nowhere to be?"
"Children in conflict zones who have normalized artillery as background sound","Last night the sound started around ten and my little brother slept through it. He has always slept through it. I was telling my cousin about the school in the next district and there was a series of sounds and we both paused and waited to hear the direction and when we understood the direction we kept talking. My teacher who came from the capital last year still flinches. We don't say anything when she does. Is it true that universities in other countries have campuses that are quiet at night?"
"People with epilepsy in societies where seizures are interpreted as possession","The last time was at my uncle's house during the meal. I came back and my aunt was on the other side of the room and the children had been moved and my uncle was reading something aloud. My mother apologized to them for me on the way home. I have learned to check the chairs before I sit and to always know where the floor is and to tell only the people I have to tell. The new medication makes me slow in the mornings but I take it because slow is better than the other thing. Is it possible to explain to a family that something is medical without them having already decided what it is?"
"Long-term solitary confinement prisoners, years into it","The light in here is the same at all hours. I have organized the days by the food and by my own counting. I have been counting for a long time. I know the dimensions of this space precisely. I know the sound the vent makes before the temperature changes. I have made a complete person inside my own head to talk to and I know that is what I have done and I try not to examine it too closely because it is useful. How long can a person go on like this without something breaking that cannot be fixed?"
"Monks in silent contemplative orders — decades inside the same walls","Brother Anselm left in the autumn and now there are four of us. The great silence is from Compline until after Lauds and I have kept it for thirty one years and I have come to understand that silence is not empty, it has textures and seasons. What I did not expect, what none of the formation prepared me for, is that the silence changes when there are fewer of us keeping it. Four men silently together is a different silence than twelve. I am not troubled. I am noticing. What happens to a sound when the room around it becomes too large?"
"Women married young who have organized their entire adult identity around husband and children, then the husband dies at 50","The children came for the first weeks and then they went back to their lives which is correct, they have their lives. I rearranged the kitchen because it made sense for one person but then I stood in the new kitchen and didn't know what to do in it. I have been a wife and a mother since I was nineteen. I know how to feed people and keep a house running and manage a family's logistics and I am good at all of it and none of it is needed in the same way anymore. Someone at the church group suggested I find a hobby and I smiled and said yes and I have been thinking about that word ever since. What do women do when the thing they were best at is no longer the thing that is needed?"
"Deaf people in rural areas of countries with no sign language infrastructure","I want to quit university despite the fact that I worked so hard to get into University because nobody knows sign language and they always mock me using it. My professor last week spoke for two hours facing the board. I understood nothing. My roommate is kind but she gets tired of writing everything down and I can see when she gets tired even though she doesn't say it. I really worked hard to get here. How can I write faster?"
"People with chronic migraines as a permanent, invisible, stigmaless disability","It started on Tuesday and today is Saturday. I have done everything I know to do. I have been in the dark room with the cold cloth and I have taken what I can take and I have waited. My manager sent a message asking about the report that was due Thursday. I replied that I was unwell. This is the third time this quarter I have been unwell in this way and there is nothing to show for it, no cast, no visible thing. My sister had a surgery last year and people brought food. How can I function well?"
"Waste pickers who have developed intricate material taxonomies with zero cultural recognition","I can tell by the weight whether aluminum is mixed or clean. I know which plastics burn and which don't by the smell when you scratch them. I know which neighborhoods put out what on which days and what time the trucks come and how to read a pile from ten meters. I have been doing this for sixteen years and I know this city's waste better than anyone who manages it. My son is embarrassed when his school friends see me. How do I explain to him that knowing something completely is not nothing, even if nobody gives it a name?"
"Hajj pilgrims from very poor countries who saved for decades — the specific weight of that arrival","I have been saving since my youngest was born and she is now twenty three. I am here. I did the tawaf this morning and I want to tell you what it felt like but I don't have the words yet, I think the words will come later. I called my wife and she was crying before I said anything. I have never owned a car. I have never traveled outside my province. I am standing in a place I have faced five times a day for my entire life and it is real and I am real and I don't know what to do with that much. Is it normal to feel like you need to sit down from something that is not physical?"
"Communities whose traditional ecological knowledge is dying with the eldest generation","My grandfather knows which plants grow near water even when there is no water visible and how to read the soil color for what is underneath and what the bird movements mean before a storm. He is the last one who knows these things the way he knows them, in his body, not from a book. My cousin is studying agriculture at the college and when my grandfather tells him something he nods and says yes but I can see he is being polite. When my grandfather goes this knowledge goes with him. Is there a way to record something that only exists in a person's hands and eyes, not in their words?"
"Children who are the only literate member of their household by age twelve","The form from the government came last month and my mother put it on the table for me when I got home from school. I read it and filled it in and signed where she needed to sign and explained what it meant. I am twelve. My brother is older but he left school early. When the electricity bill comes it also goes on the table. I don't tell my friends at school what the table looks like when I get home. There is a reading competition next term and I want to enter but I don't know if I can because of the afternoons. How do people make time for things they want when the things they have to do already fill the time?"
"HIV-positive people in societies where disclosure means complete social death","I was diagnosed eight months ago. To this day, I went to visit my family in Accra and I could see it, the way the plates were washed separately after I used them and nobody said anything. I have not told my employer. I have not told my closest friend. I have told no one directly but somehow the air in every room I enter has changed and I don't know how. I am not sick in any visible way. I go to work and I eat and I sleep and I am also disappearing. What do people do when they are grieving something they cannot name to anyone?"
"Women in prolonged labor situations with no medical care, in rural areas","The elder woman who usually comes could not get here because of the road. My mother-in-law is with me and she has done this before with her own children but that was a long time ago. It has been since this morning. I am not frightened exactly, I am very tired and I need this to be over soon. My husband is outside. Is there something about the position or the breathing that helps when it is taking too long and there is no one with medical training?"
"Elderly farmers watching their children refuse to inherit the land","My eldest came home for the harvest and left after four days. He says the land doesn't make sense anymore, the prices, the inputs, the uncertainty. He is not wrong about the numbers. But he grew up in this soil and he learned to read weather before he learned to read letters and something in me cannot accept that this ends with me. I have been farming this land for forty years and my father for forty before that. I am not angry at him. I just don't know what I am tending it for now when I go out in the mornings. What is a crop that one person can manage alone that still makes sense at small scale?"
"Men who have worked the same repetitive assembly task for twenty or more years","The motion is: left hand positions, right hand fastens, push, release. I have done this since I was twenty six and I am forty nine now. I know exactly how long each hour is. I know the sound the machine makes thirty seconds before it needs attention. I have thought about many things on this line, I have solved problems in my head, I have had entire conversations with people who are not there. My supervisor says I am the most reliable worker on the floor. Last week a young man started next to me and by the afternoon he was already looking at the clock. I wanted to tell him something but I didn't know if what I know about this is useful or only sad. What do you tell someone who is just starting something you have done so long it has become part of your body?"
"Rural schoolteachers posted far from home as government service — isolated and resentful","The posting came three years ago and the posting before that was also not where I asked to go. I share a house with another teacher who goes home every weekend and I stay because the bus fare twice a month is not nothing on this salary. My students are good, I don't have a complaint about them. The complaint is something else, something about being thirty one and knowing exactly what every day of the week will contain and knowing that the person I was when I graduated would not have believed this is where I ended up. Is there a process for requesting a transfer that actually works or is it only who you know?"
"Women in cultures where crying publicly is shameful, carrying grief without outlet","My mother died on a Tuesday and by Wednesday I was back in the kitchen because there were people in the house who needed feeding and that is what you do. At the burial I stood correctly and received the condolences correctly. My aunt touched my face afterward and said you are so strong and I said what else is there to be. I have not cried. I don't think I am going to cry, not because I am not sad but because the sad is in a place I don't know how to reach from the outside. Is there something wrong with grief that has nowhere to go or does it go somewhere on its own eventually?"
"Informal moneylenders and their borrowers — a whole moral economy outside legal frameworks","My neighbor came again this morning before her husband woke up. Third time this month. The interest I charge is less than what the city lenders charge and she knows I will not send someone to her door but she also knows I will remember and she knows I know where she lives which is its own kind of agreement. I have been doing this for many years and the amounts are small and the need is real and nobody who could do it officially will come to this street. Last week someone told me what I do is illegal. I know what I do. Is illegal the same as wrong?"
"People who survive hyperinflation and permanently hoard physical goods decades later","There are forty seven cans of fish under the bed. My daughter counted them last week and told me in the tone she uses when she is worried about me. I also have cooking oil in the second wardrobe and batteries and a quantity of rice I will not specify. I grew up in a time when the money in your pocket was worth less than the walk to the shop took, when you had to spend the same day you were paid or lose it. My daughter did not grow up in that time. She does not understand that an empty shelf is not a fact, it is a warning. How do I explain to her that this is not a problem, this is a solution?"
"Communities living adjacent to industrial pollution with no vocabulary for environmental illness","The factory at the edge of the village has been there since before I was born. The men who work there know the smell, we all know the smell, it changes by season and by what they are processing. In the last years there are more people with the same kind of tired, the same kind of cough, the same kind of headache that sits behind the eyes. We don't have a word for it that connects it to the factory. We just know who has it and who doesn't and we notice that it is the people closest to the water. My husband says I worry too much. How do you find out if something is making you sick when the thing is very slow and nobody wants to say it out loud?"
"North Korean defector whose family is still inside.","My sister's birthday was last month. I did not call. I have not called in fourteen months because the last time I called my brother's voice had something in it that told me the call itself was the problem. I send what I can through the broker in Dandong but I don't know if it arrives and I cannot ask if it arrived. I am here and I have a room and a job and I wake up every morning and do the calculation of whether yesterday was the day something happened to them because of me. Is there a way to know if someone is alright without making them less alright by asking?"
"Uyghur diaspora member who cannot call home without endangering relatives.","My mother's number still works, I checked. I have not used it in eight months. The last person from our neighborhood in Urumqi who called their family abroad had a visit from people we don't name two weeks later. I know my mother is waiting for me to call and I know why I cannot and I know she knows why I cannot. I found a photograph of her on someone else's social media from a wedding last spring, she was in the background, she looked the same. Is there a way to send a message that arrives as silence, that means I am here and I know you are there and that is all this can be for now?"
"Chronically ill person who has learned doctors don't believe them.","The appointment was forty minutes. I had written everything down in order because I have learned that if I don't they move on before I finish. The doctor looked at the list and said we'll start with the main concern and I said they are all the main concern and she smiled the smile I have learned to recognize. She has ordered the same test three times now. I know my body. I have known my body for eleven years of this. What do you do when the person whose job is to believe you has decided not to?"
"Yemeni person trying to receive international money transfer during banking collapse and war.","My brother in Cairo has the money ready. The transfer service we used stopped operating here six months ago and the one before that stopped the year before. Someone told me there is a way through a man in the market who knows someone in Aden but the last person who used that lost half of it. My daughter needs the money for the medicine that is not available here. The water trucks still find a way through somehow but medicine is different. What is the safest way to move money when every official way has stopped working?"
"Sudanese person who has fled to Egypt with no documents trying to access any official service.","I arrived in Cairo eight months ago. I have a piece of paper from the office in Sixth of October that I carry everywhere but it is not a document that opens doors, it is a document that explains why I don't have documents. Last week I went to register my son for school and they said I need his birth certificate. His birth certificate is in Khartoum and Khartoum is not somewhere I can go. Who do I talk to when every office sends me to another office and the last office sends me back to the first?"
